year,month,radiationtype,radiation
2008,1,dni,267976
2008,2,dni,189477
2008,3,dni,163544
2008,4,dni,192812
2008,5,dni,246274
2008,6,dni,188501
2008,7,dni,222436
2008,8,dni,210290
2008,9,dni,224847
2008,10,dni,253331
2008,11,dni,196690
2008,12,dni,165360
2009,1,dni,262441
2009,2,dni,192697
2009,3,dni,229413
2009,4,dni,176240
2009,5,dni,186788
2009,6,dni,195780
2009,7,dni,210747
2009,8,dni,215684
2009,9,dni,220445
2009,10,dni,280213
2009,11,dni,140712
2009,12,dni,236163
2010,1,dni,215104
2010,2,dni,200419
2010,3,dni,231708
2010,4,dni,212765
2010,5,dni,192495
2010,6,dni,180587
2010,7,dni,136742
2010,8,dni,193568
2010,9,dni,184233
2010,10,dni,240736
2010,11,dni,283144
2010,12,dni,237303
2011,1,dni,271287
2011,2,dni,183569
2011,3,dni,181550
2011,4,dni,231675
2011,5,dni,206356
2011,6,dni,209166
2011,7,dni,204748
2011,8,dni,245093
2011,9,dni,265095
2011,10,dni,216706
2011,11,dni,233972
2011,12,dni,257383
2012,1,dni,210190
2012,2,dni,225280
2012,3,dni,192081
2012,4,dni,207275
2012,5,dni,215036
2012,6,dni,157806
2012,7,dni,180220
2012,8,dni,214045
2012,9,dni,218213
2012,10,dni,248031
2012,11,dni,198315
2012,12,dni,164976
2013,1,dni,239891
2013,2,dni,163060
2013,3,dni,186139
2013,4,dni,231442
2013,5,dni,156115
2013,6,dni,105807
2013,7,dni,226872
2013,8,dni,245479
2013,9,dni,259368
2013,10,dni,261016
2013,11,dni,214086
2013,12,dni,185269
2014,1,dni,233825
2014,2,dni,199957
2014,3,dni,253054
2014,4,dni,217525
2014,5,dni,187350
2014,6,dni,217584
2014,7,dni,205153
2014,8,dni,257545
2014,9,dni,254450
2014,10,dni,262248
2014,11,dni,157346
2014,12,dni,243883
2015,1,dni,193674
2015,2,dni,224404
2015,3,dni,192494
2015,4,dni,173141
2015,5,dni,154021
2015,6,dni,215019
2015,7,dni,195575
2015,8,dni,220408
2015,9,dni,270330
2015,10,dni,264266
2015,11,dni,263491
2015,12,dni,239763
2016,1,dni,153978
2016,2,dni,234170
2016,3,dni,180236
2016,4,dni,216285
2016,5,dni,136872
2016,6,dni,147793
2016,7,dni,169531
2016,8,dni,192057
2016,9,dni,194545
2016,10,dni,226524
2016,11,dni,263102
2016,12,dni,214665
2017,1,dni,216569
2017,2,dni,243484
2017,3,dni,229898
2017,4,dni,217212
2017,5,dni,232846
2017,6,dni,186924
2017,7,dni,210347
2017,8,dni,247482
2017,9,dni,236866
2017,10,dni,265639
2017,11,dni,264059
2017,12,dni,273231
2018,1,dni,285375
2018,2,dni,211906
2018,3,dni,241279
2018,4,dni,234627
2018,5,dni,218303
2018,6,dni,183676
2018,7,dni,212105
2018,8,dni,0
