ts,radiation
2008-01-31,159795
2008-02-29,52134
2008-03-31,150580
2008-04-30,225176
2008-05-31,257146
2008-06-30,201733
2008-07-31,254036
2008-08-31,237372
2008-09-30,216467
2008-10-31,203094
2008-11-30,145422
2008-12-31,121388
2009-01-31,122851
2009-02-28,83406
2009-03-31,217775
2009-04-30,218716
2009-05-31,207399
2009-06-30,216507
2009-07-31,231261
2009-08-31,240218
2009-09-30,190508
2009-10-31,250200
2009-11-30,108664
2009-12-31,157176
2010-01-31,130434
2010-02-28,156180
2010-03-31,230799
2010-04-30,177008
2010-05-31,134551
2010-06-30,214226
2010-07-31,169414
2010-08-31,207294
2010-09-30,160597
2010-10-31,179544
2010-11-30,233675
2010-12-31,156535
2011-01-31,117335
2011-02-28,70765
2011-03-31,92582
2011-04-30,193103
2011-05-31,241065
2011-06-30,242406
2011-07-31,221273
2011-08-31,255372
2011-09-30,241497
2011-10-31,190754
2011-11-30,189951
2011-12-31,208429
2012-01-31,140651
2012-02-29,192766
2012-03-31,112270
2012-04-30,218052
2012-05-31,228321
2012-06-30,198772
2012-07-31,201180
2012-08-31,213346
2012-09-30,213888
2012-10-31,214376
2012-11-30,203483
2012-12-31,183553
2013-01-31,182353
2013-02-28,131785
2013-03-31,166358
2013-04-30,204865
2013-05-31,171779
2013-06-30,174034
2013-07-31,245299
2013-08-31,265340
2013-09-30,231227
2013-10-31,192372
2013-11-30,154266
2013-12-31,119850
2014-01-31,165984
2014-02-28,127889
2014-03-31,200548
2014-04-30,193925
2014-05-31,200736
2014-06-30,227744
2014-07-31,217481
2014-08-31,267454
2014-09-30,239596
2014-10-31,217076
2014-11-30,117626
2014-12-31,174540
2015-01-31,124441
2015-02-28,182592
2015-03-31,192640
2015-04-30,209614
2015-05-31,223899
2015-06-30,225627
2015-07-31,229949
2015-08-31,232722
2015-09-30,246290
2015-10-31,169644
2015-11-30,220402
2015-12-31,149867
2016-01-31,149013
2016-02-29,148201
2016-03-31,155874
2016-04-30,206309
2016-05-31,161310
2016-06-30,197810
2016-07-31,197541
2016-08-31,180838
2016-09-30,185089
2016-10-31,220654
2016-11-30,217829
2016-12-31,139913
2017-01-31,125105
2017-02-28,185673
2017-03-31,206041
2017-04-30,202991
2017-05-31,234182
2017-06-30,224806
2017-07-31,228027
2017-08-31,258224
2017-09-30,256612
2017-10-31,253107
2017-11-30,206210
2017-12-31,218288
2018-01-31,163552
2018-02-28,163454
2018-03-31,235934
2018-04-30,246783
2018-05-31,245039
2018-06-30,230154
2018-07-31,237288
