year,month,radiationtype,radiation
2008,1,ghi,249661
2008,2,ghi,204337
2008,3,ghi,173537
2008,4,ghi,152044
2008,5,ghi,154575
2008,6,ghi,117027
2008,7,ghi,137165
2008,8,ghi,149444
2008,9,ghi,178983
2008,10,ghi,219704
2008,11,ghi,176655
2008,12,ghi,208335
2009,1,ghi,222701
2009,2,ghi,189864
2009,3,ghi,201539
2009,4,ghi,162281
2009,5,ghi,132149
2009,6,ghi,118070
2009,7,ghi,134151
2009,8,ghi,153102
2009,9,ghi,178662
2009,10,ghi,231933
2009,11,ghi,138432
2009,12,ghi,227679
2010,1,ghi,223023
2010,2,ghi,184122
2010,3,ghi,193338
2010,4,ghi,155618
2010,5,ghi,136099
2010,6,ghi,125593
2010,7,ghi,106467
2010,8,ghi,146735
2010,9,ghi,157226
2010,10,ghi,193092
2010,11,ghi,227791
2010,12,ghi,237003
2011,1,ghi,239117
2011,2,ghi,179932
2011,3,ghi,155311
2011,4,ghi,180649
2011,5,ghi,138540
2011,6,ghi,126207
2011,7,ghi,125392
2011,8,ghi,168797
2011,9,ghi,190270
2011,10,ghi,193129
2011,11,ghi,197485
2011,12,ghi,223593
2012,1,ghi,223507
2012,2,ghi,207607
2012,3,ghi,182656
2012,4,ghi,153544
2012,5,ghi,146422
2012,6,ghi,117191
2012,7,ghi,130189
2012,8,ghi,157993
2012,9,ghi,175423
2012,10,ghi,221503
2012,11,ghi,215095
2012,12,ghi,217979
2013,1,ghi,240866
2013,2,ghi,190014
2013,3,ghi,196511
2013,4,ghi,170841
2013,5,ghi,132233
2013,6,ghi,102809
2013,7,ghi,136455
2013,8,ghi,170482
2013,9,ghi,187960
2013,10,ghi,225564
2013,11,ghi,211521
2013,12,ghi,211476
2014,1,ghi,217791
2014,2,ghi,189242
2014,3,ghi,203946
2014,4,ghi,156272
2014,5,ghi,136013
2014,6,ghi,130008
2014,7,ghi,136313
2014,8,ghi,171938
2014,9,ghi,191223
2014,10,ghi,223922
2014,11,ghi,198826
2014,12,ghi,226598
2015,1,ghi,203515
2015,2,ghi,213190
2015,3,ghi,202114
2015,4,ghi,157699
2015,5,ghi,119107
2015,6,ghi,125075
2015,7,ghi,135044
2015,8,ghi,157912
2015,9,ghi,193632
2015,10,ghi,221934
2015,11,ghi,226999
2015,12,ghi,191063
2016,1,ghi,212207
2016,2,ghi,195525
2016,3,ghi,167445
2016,4,ghi,164551
2016,5,ghi,114055
2016,6,ghi,107322
2016,7,ghi,119227
2016,8,ghi,138128
2016,9,ghi,154617
2016,10,ghi,213619
2016,11,ghi,227739
2016,12,ghi,193618
2017,1,ghi,221461
2017,2,ghi,217438
2017,3,ghi,202378
2017,4,ghi,160280
2017,5,ghi,149165
2017,6,ghi,123820
2017,7,ghi,135641
2017,8,ghi,168458
2017,9,ghi,191343
2017,10,ghi,226600
2017,11,ghi,221581
2017,12,ghi,240366
2018,1,ghi,246394
2018,2,ghi,215215
2018,3,ghi,210330
2018,4,ghi,170598
2018,5,ghi,144858
2018,6,ghi,129491
2018,7,ghi,140641
2018,8,ghi,0
