ts,radiation
2008-01-31,227938
2008-02-29,174388
2008-03-31,146545
2008-04-30,139233
2008-05-31,159429
2008-06-30,117717
2008-07-31,145479
2008-08-31,165279
2008-09-30,191214
2008-10-31,208155
2008-11-30,235798
2008-12-31,227752
2009-01-31,229895
2009-02-28,156988
2009-03-31,198459
2009-04-30,161128
2009-05-31,137860
2009-06-30,120787
2009-07-31,141094
2009-08-31,173334
2009-09-30,197802
2009-10-31,227316
2009-11-30,126312
2009-12-31,239664
2010-01-31,221602
2010-02-28,212608
2010-03-31,202684
2010-04-30,164875
2010-05-31,153284
2010-06-30,128543
2010-07-31,127736
2010-08-31,164712
2010-09-30,183987
2010-10-31,224905
2010-11-30,233955
2010-12-31,236463
2011-01-31,201522
2011-02-28,149455
2011-03-31,178593
2011-04-30,161311
2011-05-31,127072
2011-06-30,133357
2011-07-31,130979
2011-08-31,176383
2011-09-30,206134
2011-10-31,229298
2011-11-30,235477
2011-12-31,256349
2012-01-31,180342
2012-02-29,208765
2012-03-31,160835
2012-04-30,172652
2012-05-31,153423
2012-06-30,124641
2012-07-31,139905
2012-08-31,169743
2012-09-30,191376
2012-10-31,228492
2012-11-30,236959
2012-12-31,200337
2013-01-31,210003
2013-02-28,183469
2013-03-31,207999
2013-04-30,173216
2013-05-31,130804
2013-06-30,96656
2013-07-31,150001
2013-08-31,175925
2013-09-30,204632
2013-10-31,222659
2013-11-30,233436
2013-12-31,227739
2014-01-31,224010
2014-02-28,207876
2014-03-31,207731
2014-04-30,174649
2014-05-31,139213
2014-06-30,133408
2014-07-31,144182
2014-08-31,180498
2014-09-30,203309
2014-10-31,228892
2014-11-30,218368
2014-12-31,253439
2015-01-31,232681
2015-02-28,194699
2015-03-31,179552
2015-04-30,135618
2015-05-31,107111
2015-06-30,135928
2015-07-31,131598
2015-08-31,166692
2015-09-30,200343
2015-10-31,223651
2015-11-30,226481
2015-12-31,242097
2016-01-31,197227
2016-02-29,199549
2016-03-31,178782
2016-04-30,170777
2016-05-31,134718
2016-06-30,111531
2016-07-31,132609
2016-08-31,159044
2016-09-30,188053
2016-10-31,218474
2016-11-30,245185
2016-12-31,237550
2017-01-31,213003
2017-02-28,200323
2017-03-31,194016
2017-04-30,172510
2017-05-31,157237
2017-06-30,132463
2017-07-31,145518
2017-08-31,175597
2017-09-30,201796
2017-10-31,237106
2017-11-30,250533
2017-12-31,246529
2018-01-31,222156
2018-02-28,211177
2018-03-31,213395
2018-04-30,179341
2018-05-31,154156
2018-06-30,127229
2018-07-31,150008
