year,month,radiationtype,radiation
2008,1,dni,70083
2008,2,dni,50121
2008,3,dni,127300
2008,4,dni,174273
2008,5,dni,196931
2008,6,dni,120547
2008,7,dni,130839
2008,8,dni,144772
2008,9,dni,190102
2008,10,dni,190443
2008,11,dni,178057
2008,12,dni,112037
2009,1,dni,50180
2009,2,dni,49350
2009,3,dni,182993
2009,4,dni,170879
2009,5,dni,129781
2009,6,dni,180336
2009,7,dni,174978
2009,8,dni,213456
2009,9,dni,194216
2009,10,dni,229968
2009,11,dni,111886
2009,12,dni,171016
2010,1,dni,41869
2010,2,dni,92925
2010,3,dni,127516
2010,4,dni,89016
2010,5,dni,181991
2010,6,dni,123889
2010,7,dni,76680
2010,8,dni,124061
2010,9,dni,140946
2010,10,dni,144170
2010,11,dni,124610
2010,12,dni,128032
2011,1,dni,100038
2011,2,dni,83242
2011,3,dni,85371
2011,4,dni,132964
2011,5,dni,192868
2011,6,dni,184494
2011,7,dni,178196
2011,8,dni,193963
2011,9,dni,175201
2011,10,dni,183866
2011,11,dni,207160
2011,12,dni,82586
2012,1,dni,150179
2012,2,dni,93990
2012,3,dni,73388
2012,4,dni,152232
2012,5,dni,132871
2012,6,dni,151576
2012,7,dni,132762
2012,8,dni,190660
2012,9,dni,212188
2012,10,dni,187758
2012,11,dni,246207
2012,12,dni,251026
2013,1,dni,126564
2013,2,dni,146212
2013,3,dni,110940
2013,4,dni,166749
2013,5,dni,123847
2013,6,dni,128408
2013,7,dni,144007
2013,8,dni,237082
2013,9,dni,207377
2013,10,dni,216114
2013,11,dni,98087
2013,12,dni,227564
2014,1,dni,103924
2014,2,dni,68405
2014,3,dni,138529
2014,4,dni,130966
2014,5,dni,172027
2014,6,dni,117842
2014,7,dni,177636
2014,8,dni,171514
2014,9,dni,238348
2014,10,dni,251425
2014,11,dni,229933
2014,12,dni,178522
2015,1,dni,98205
2015,2,dni,108232
2015,3,dni,143550
2015,4,dni,163370
2015,5,dni,157981
2015,6,dni,142159
2015,7,dni,183036
2015,8,dni,210164
2015,9,dni,233248
2015,10,dni,231253
2015,11,dni,188906
2015,12,dni,138012
2016,1,dni,181824
2016,2,dni,134144
2016,3,dni,120140
2016,4,dni,144227
2016,5,dni,112907
2016,6,dni,115144
2016,7,dni,121641
2016,8,dni,174668
2016,9,dni,155168
2016,10,dni,235972
2016,11,dni,265701
2016,12,dni,218051
2017,1,dni,127524
2017,2,dni,137162
2017,3,dni,185343
2017,4,dni,167253
2017,5,dni,182633
2017,6,dni,154774
2017,7,dni,110138
2017,8,dni,189632
2017,9,dni,205391
2017,10,dni,193360
2017,11,dni,253547
2017,12,dni,280931
2018,1,dni,145064
2018,2,dni,160309
2018,3,dni,132518
2018,4,dni,217101
2018,5,dni,170547
2018,6,dni,160687
2018,7,dni,170138
2018,8,dni,0
