ts,radiation
2008-01-31,281321
2008-02-29,217959
2008-03-31,221046
2008-04-30,224406
2008-05-31,249016
2008-06-30,186148
2008-07-31,227888
2008-08-31,196250
2008-09-30,211703
2008-10-31,249896
2008-11-30,154182
2008-12-31,198789
2009-01-31,228661
2009-02-28,220734
2009-03-31,253302
2009-04-30,214094
2009-05-31,191006
2009-06-30,185674
2009-07-31,210365
2009-08-31,207097
2009-09-30,217480
2009-10-31,282822
2009-11-30,168501
2009-12-31,241293
2010-01-31,234510
2010-02-28,195546
2010-03-31,224227
2010-04-30,192175
2010-05-31,195226
2010-06-30,200991
2010-07-31,134279
2010-08-31,192835
2010-09-30,172582
2010-10-31,207558
2010-11-30,256813
2010-12-31,264685
2011-01-31,266210
2011-02-28,165651
2011-03-31,141015
2011-04-30,256550
2011-05-31,194342
2011-06-30,208091
2011-07-31,184359
2011-08-31,243956
2011-09-30,242563
2011-10-31,191937
2011-11-30,197877
2011-12-31,226952
2012-01-31,222888
2012-02-29,231299
2012-03-31,204195
2012-04-30,189287
2012-05-31,212669
2012-06-30,157974
2012-07-31,178962
2012-08-31,197130
2012-09-30,196834
2012-10-31,245409
2012-11-30,217471
2012-12-31,213412
2013-01-31,261836
2013-02-28,198107
2013-03-31,230138
2013-04-30,232745
2013-05-31,179829
2013-06-30,129244
2013-07-31,218316
2013-08-31,247281
2013-09-30,230536
2013-10-31,274063
2013-11-30,212484
2013-12-31,207436
2014-01-31,221578
2014-02-28,197801
2014-03-31,252489
2014-04-30,195837
2014-05-31,181901
2014-06-30,215337
2014-07-31,214481
2014-08-31,255756
2014-09-30,239485
2014-10-31,258754
2014-11-30,190132
2014-12-31,223544
2015-01-31,201212
2015-02-28,253918
2015-03-31,255858
2015-04-30,205109
2015-05-31,175532
2015-06-30,193803
2015-07-31,211536
2015-08-31,215493
2015-09-30,257360
2015-10-31,259780
2015-11-30,265386
2015-12-31,166807
2016-01-31,210926
2016-02-29,224997
2016-03-31,185916
2016-04-30,209336
2016-05-31,131938
2016-06-30,137860
2016-07-31,150829
2016-08-31,161684
2016-09-30,151011
2016-10-31,231040
2016-11-30,246859
2016-12-31,158496
2017-01-31,215553
2017-02-28,258808
2017-03-31,238687
2017-04-30,191978
2017-05-31,225635
2017-06-30,191712
2017-07-31,205401
2017-08-31,233809
2017-09-30,242260
2017-10-31,268497
2017-11-30,240494
2017-12-31,249120
2018-01-31,273151
2018-02-28,251409
2018-03-31,272619
2018-04-30,222059
2018-05-31,210323
2018-06-30,208381
2018-07-31,219872
