year,month,radiationtype,radiation
2008,1,ghi,174146
2008,2,ghi,146725
2008,3,ghi,127852
2008,4,ghi,140824
2008,5,ghi,138312
2008,6,ghi,115036
2008,7,ghi,114104
2008,8,ghi,150458
2008,9,ghi,176582
2008,10,ghi,195496
2008,11,ghi,202782
2008,12,ghi,220575
2009,1,ghi,145097
2009,2,ghi,104521
2009,3,ghi,177672
2009,4,ghi,142115
2009,5,ghi,124157
2009,6,ghi,131032
2009,7,ghi,142523
2009,8,ghi,166487
2009,9,ghi,175764
2009,10,ghi,213204
2009,11,ghi,116058
2009,12,ghi,227639
2010,1,ghi,159495
2010,2,ghi,145708
2010,3,ghi,160539
2010,4,ghi,139523
2010,5,ghi,139336
2010,6,ghi,122362
2010,7,ghi,124895
2010,8,ghi,136232
2010,9,ghi,140439
2010,10,ghi,181796
2010,11,ghi,119812
2010,12,ghi,139817
2011,1,ghi,215852
2011,2,ghi,179291
2011,3,ghi,129605
2011,4,ghi,150849
2011,5,ghi,142885
2011,6,ghi,121886
2011,7,ghi,141932
2011,8,ghi,141528
2011,9,ghi,192184
2011,10,ghi,193377
2011,11,ghi,211552
2011,12,ghi,187648
2012,1,ghi,199005
2012,2,ghi,183170
2012,3,ghi,144242
2012,4,ghi,161020
2012,5,ghi,129648
2012,6,ghi,111418
2012,7,ghi,110334
2012,8,ghi,158104
2012,9,ghi,180929
2012,10,ghi,205164
2012,11,ghi,224627
2012,12,ghi,232290
2013,1,ghi,217949
2013,2,ghi,160007
2013,3,ghi,167592
2013,4,ghi,139044
2013,5,ghi,129306
2013,6,ghi,124096
2013,7,ghi,126130
2013,8,ghi,168808
2013,9,ghi,192264
2013,10,ghi,218967
2013,11,ghi,181079
2013,12,ghi,233444
2014,1,ghi,204319
2014,2,ghi,161161
2014,3,ghi,158147
2014,4,ghi,148932
2014,5,ghi,141051
2014,6,ghi,110060
2014,7,ghi,141693
2014,8,ghi,160184
2014,9,ghi,180663
2014,10,ghi,222249
2014,11,ghi,225633
2014,12,ghi,230258
2015,1,ghi,194798
2015,2,ghi,178928
2015,3,ghi,185471
2015,4,ghi,160728
2015,5,ghi,120623
2015,6,ghi,112312
2015,7,ghi,129484
2015,8,ghi,162513
2015,9,ghi,186491
2015,10,ghi,208581
2015,11,ghi,203288
2015,12,ghi,218659
2016,1,ghi,201776
2016,2,ghi,169026
2016,3,ghi,148685
2016,4,ghi,144285
2016,5,ghi,136388
2016,6,ghi,114784
2016,7,ghi,124157
2016,8,ghi,142550
2016,9,ghi,160951
2016,10,ghi,217539
2016,11,ghi,227487
2016,12,ghi,228954
2017,1,ghi,209430
2017,2,ghi,205865
2017,3,ghi,165465
2017,4,ghi,165213
2017,5,ghi,130281
2017,6,ghi,119838
2017,7,ghi,141940
2017,8,ghi,167304
2017,9,ghi,193836
2017,10,ghi,203997
2017,11,ghi,219277
2017,12,ghi,253250
2018,1,ghi,222355
2018,2,ghi,191704
2018,3,ghi,183201
2018,4,ghi,150404
2018,5,ghi,146421
2018,6,ghi,127637
2018,7,ghi,140715
2018,8,ghi,0
