ts,radiation
2008-01-31,145429
2008-02-29,123727
2008-03-31,149113
2008-04-30,152234
2008-05-31,166022
2008-06-30,123856
2008-07-31,127925
2008-08-31,151168
2008-09-30,187183
2008-10-31,203069
2008-11-30,195839
2008-12-31,163448
2009-01-31,128430
2009-02-28,114659
2009-03-31,184827
2009-04-30,167433
2009-05-31,139347
2009-06-30,148088
2009-07-31,152184
2009-08-31,179832
2009-09-30,186269
2009-10-31,214661
2009-11-30,114966
2009-12-31,195871
2010-01-31,119754
2010-02-28,150921
2010-03-31,163436
2010-04-30,138848
2010-05-31,163022
2010-06-30,129348
2010-07-31,109694
2010-08-31,145765
2010-09-30,166266
2010-10-31,182243
2010-11-30,175396
2010-12-31,174329
2011-01-31,164011
2011-02-28,143631
2011-03-31,140655
2011-04-30,154120
2011-05-31,165792
2011-06-30,148148
2011-07-31,151037
2011-08-31,174359
2011-09-30,183723
2011-10-31,199355
2011-11-30,210197
2011-12-31,149305
2012-01-31,184092
2012-02-29,150584
2012-03-31,129747
2012-04-30,161676
2012-05-31,142343
2012-06-30,139068
2012-07-31,136937
2012-08-31,173322
2012-09-30,194293
2012-10-31,199982
2012-11-30,222666
2012-12-31,230646
2013-01-31,172360
2013-02-28,180009
2013-03-31,154772
2013-04-30,168336
2013-05-31,140921
2013-06-30,130770
2013-07-31,142980
2013-08-31,190334
2013-09-30,193579
2013-10-31,215433
2013-11-30,160677
2013-12-31,223242
2014-01-31,157791
2014-02-28,128957
2014-03-31,170407
2014-04-30,152983
2014-05-31,159796
2014-06-30,122870
2014-07-31,153089
2014-08-31,166969
2014-09-30,204824
2014-10-31,227481
2014-11-30,219282
2014-12-31,204836
2015-01-31,163209
2015-02-28,151721
2015-03-31,164939
2015-04-30,168106
2015-05-31,132784
2015-06-30,137155
2015-07-31,152708
2015-08-31,177470
2015-09-30,200209
2015-10-31,215506
2015-11-30,195994
2015-12-31,169602
2016-01-31,193479
2016-02-29,164606
2016-03-31,151719
2016-04-30,157109
2016-05-31,130195
2016-06-30,119916
2016-07-31,131742
2016-08-31,165843
2016-09-30,175149
2016-10-31,222532
2016-11-30,231438
2016-12-31,217277
2017-01-31,176446
2017-02-28,173563
2017-03-31,198403
2017-04-30,167483
2017-05-31,157074
2017-06-30,138599
2017-07-31,126735
2017-08-31,173583
2017-09-30,191787
2017-10-31,201672
2017-11-30,226453
2017-12-31,240671
2018-01-31,179985
2018-02-28,180605
2018-03-31,168926
2018-04-30,186855
2018-05-31,156680
2018-06-30,140654
2018-07-31,150287
