"year","month","radiationtype","radiation"
"2012","01","ghi","225820"
"2013","07","dni","187491"
"2008","08","ghi","153751"
"2012","10","ghi","218497"
"2016","07","dni","141391"
"2018","07","dni","199694"
"2012","02","ghi","198829"
"2008","09","dni","183759"
"2008","11","dni","199315"
"2010","03","ghi","186742"
"2010","06","dni","199098"
"2017","08","ghi","170596"
"2014","05","dni","193980"
"2017","09","dni","252000"
"2011","06","dni","171031"
"2017","11","dni","235349"
"2012","08","dni","194158"
"2011","08","dni","216528"
"2016","09","ghi","152633"
"2008","10","dni","250403"
"2013","09","ghi","187246"
"2008","01","dni","177715"
"2015","09","ghi","187276"
"2008","02","dni","134256"
"2009","06","ghi","124491"
"2018","05","dni","201103"
"2012","12","ghi","230397"
"2017","02","dni","226955"
"2015","02","ghi","208503"
"2015","10","ghi","229667"
"2013","02","ghi","197377"
"2017","10","dni","230631"
"2017","01","dni","258935"
"2015","01","ghi","213171"
"2011","07","ghi","139195"
"2013","08","ghi","170904"
"2017","03","dni","229521"
"2015","03","ghi","196616"
"2009","06","dni","197231"
"2010","05","ghi","135940"
"2015","11","dni","256179"
"2008","12","ghi","225745"
"2016","09","dni","156571"
"2013","09","dni","228855"
"2014","06","ghi","127329"
"2018","08","ghi","0"
"2016","08","ghi","151907"
"2011","10","dni","233724"
"2010","07","ghi","122248"
"2012","10","dni","243696"
"2011","01","dni","243788"
"2011","02","dni","206409"
"2017","10","ghi","211410"
"2008","03","dni","190965"
"2013","01","ghi","239219"
"2014","01","ghi","239071"
"2010","07","dni","165894"
"2018","02","ghi","206053"
"2013","10","ghi","232846"
"2009","02","dni","167296"
"2009","01","dni","65763"
"2018","01","ghi","245244"
"2012","05","ghi","130158"
"2016","10","ghi","218470"
"2014","02","ghi","173701"
"2016","02","ghi","186991"
"2011","12","ghi","200819"
"2016","01","ghi","209392"
"2018","04","ghi","177766"
"2016","04","ghi","161039"
"2013","04","ghi","159266"
"2009","11","ghi","130876"
"2013","12","dni","249076"
"2009","04","dni","180760"
"2011","03","ghi","160775"
"2010","01","dni","167559"
"2011","11","dni","198404"
"2013","05","dni","169911"
"2015","05","dni","185301"
"2016","05","dni","157057"
"2016","12","dni","224364"
"2012","06","dni","150838"
"2010","02","dni","133955"
"2009","09","ghi","181132"
"2010","10","dni","208067"
"2014","04","ghi","173186"
"2014","12","dni","204539"
"2017","06","ghi","128172"
"2012","07","ghi","121352"
"2009","03","ghi","199616"
"2015","09","dni","237804"
"2010","12","ghi","193448"
"2014","04","dni","224701"
"2013","06","ghi","118840"
"2012","09","dni","200344"
"2016","05","ghi","127356"
"2009","12","dni","191453"
"2008","01","ghi","197342"
"2017","09","ghi","196338"
"2011","06","ghi","116291"
"2010","10","ghi","199064"
"2014","12","ghi","223165"
"2017","08","dni","245431"
"2015","08","ghi","159078"
"2018","06","ghi","119559"
"2009","11","dni","143888"
"2016","06","ghi","107035"
"2014","11","ghi","222466"
"2015","06","ghi","121617"
"2010","09","dni","140564"
"2008","06","ghi","114250"
"2010","11","dni","146103"
"2015","07","dni","207252"
"2010","08","ghi","151540"
"2013","05","ghi","130366"
"2009","04","ghi","150287"
"2008","02","ghi","169754"
"2012","08","ghi","157097"
"2018","05","ghi","143692"
"2017","05","ghi","140833"
"2014","01","dni","256453"
"2011","12","dni","169568"
"2011","04","ghi","166612"
"2014","10","dni","283232"
"2009","12","ghi","209765"
"2014","02","dni","154113"
"2012","05","dni","167110"
"2012","12","dni","222749"
"2018","01","dni","275969"
"2012","04","ghi","158237"
"2016","10","dni","253965"
"2018","02","dni","225732"
"2016","02","dni","201503"
"2013","02","dni","203066"
"2013","10","dni","283767"
"2016","01","dni","206322"
"2013","01","dni","257249"
"2017","12","ghi","257881"
"2015","10","dni","277196"
"2009","10","ghi","227804"
"2008","07","ghi","126145"
"2009","01","ghi","146748"
"2009","02","ghi","163416"
"2009","08","ghi","161170"
"2016","11","ghi","218086"
"2018","04","dni","244196"
"2016","04","dni","198782"
"2013","11","ghi","210669"
"2013","04","dni","190295"
"2015","04","dni","214297"
"2012","03","dni","156618"
"2011","03","dni","144641"
"2015","11","ghi","224968"
"2017","03","ghi","200935"
"2009","09","dni","228557"
"2014","09","ghi","189401"
"2017","06","dni","194558"
"2015","08","dni","219214"
"2011","07","dni","220127"
"2013","08","dni","246420"
"2009","03","dni","246637"
"2010","05","dni","186587"
"2016","06","dni","131612"
"2008","04","ghi","147410"
"2015","02","dni","234462"
"2011","05","ghi","149688"
