"year","month","radiationtype","radiation"
"2013","02","dni","147530"
"2016","02","dni","200404"
"2012","12","dni","229198"
"2018","02","dni","188465"
"2016","01","ghi","214849"
"2012","05","ghi","131783"
"2009","01","dni","51110"
"2016","02","ghi","188419"
"2014","02","ghi","176140"
"2012","05","dni","161923"
"2009","12","ghi","215497"
"2014","10","dni","267353"
"2014","02","dni","159802"
"2011","12","dni","184435"
"2017","05","ghi","134319"
"2014","01","dni","199019"
"2011","04","ghi","157514"
"2015","02","ghi","198900"
"2017","01","dni","228068"
"2015","01","ghi","212594"
"2015","07","dni","205663"
"2008","06","ghi","117210"
"2010","11","dni","74774"
"2012","08","dni","190436"
"2017","08","ghi","169563"
"2017","09","dni","248412"
"2017","11","dni","229081"
"2010","03","dni","171401"
"2012","10","dni","237399"
"2017","10","ghi","210372"
"2008","03","dni","174266"
"2018","01","ghi","242534"
"2011","12","ghi","208781"
"2016","10","ghi","219085"
"2010","07","dni","142241"
"2014","01","ghi","213319"
"2013","01","ghi","217773"
"2016","01","dni","216333"
"2018","01","dni","264455"
"2012","04","ghi","163614"
"2013","10","dni","275846"
"2016","10","dni","251064"
"2013","10","ghi","231572"
"2018","02","ghi","189134"
"2009","02","dni","104892"
"2015","10","dni","261287"
"2017","12","ghi","257544"
"2013","01","dni","213492"
"2012","06","dni","139146"
"2014","04","ghi","168778"
"2016","05","dni","158619"
"2013","05","dni","152271"
"2017","06","ghi","128333"
"2014","12","dni","226633"
"2012","12","ghi","227907"
"2017","02","dni","217687"
"2013","02","ghi","172961"
"2017","10","dni","226792"
"2015","10","ghi","225912"
"2010","09","dni","108222"
"2010","08","ghi","145764"
"2016","09","ghi","159580"
"2008","02","dni","114878"
"2011","08","dni","191091"
"2008","10","dni","246880"
"2008","01","dni","161597"
"2009","06","ghi","130921"
"2013","09","ghi","190154"
"2015","09","ghi","190040"
"2018","05","dni","195826"
"2014","05","dni","184229"
"2011","06","dni","161593"
"2011","02","dni","179831"
"2011","01","dni","217076"
"2010","07","ghi","118860"
"2011","10","dni","209331"
"2012","01","dni","186699"
"2008","08","dni","205228"
"2017","01","ghi","218927"
"2012","02","dni","190610"
"2017","02","ghi","202450"
"2018","06","dni","166101"
"2011","07","dni","217418"
"2016","06","dni","132895"
"2015","08","dni","217067"
"2014","06","dni","179602"
"2013","06","dni","178495"
"2014","03","ghi","186068"
"2016","08","dni","173042"
"2013","12","dni","272478"
"2018","04","ghi","165835"
"2011","11","dni","203908"
"2010","01","dni","129600"
"2011","03","ghi","153441"
"2013","04","ghi","146547"
"2010","10","dni","191348"
"2010","02","dni","104445"
"2016","12","dni","227204"
"2015","05","dni","183352"
"2009","09","ghi","179751"
"2013","08","dni","239186"
"2010","05","dni","174193"
"2009","03","dni","245725"
"2008","04","ghi","149040"
"2009","04","dni","163578"
"2016","04","ghi","160961"
"2009","11","ghi","123474"
"2011","11","ghi","211549"
"2015","12","ghi","209434"
"2016","12","ghi","227570"
"2017","05","dni","167261"
"2010","02","ghi","153427"
"2013","12","ghi","247026"
"2015","05","ghi","124774"
"2012","06","ghi","112886"
"2010","01","ghi","172917"
"2011","04","dni","184868"
"2015","12","dni","210053"
"2011","08","ghi","154836"
"2017","11","ghi","217762"
"2017","04","dni","237486"
"2015","04","ghi","165439"
"2011","09","dni","239410"
"2009","05","dni","147609"
"2014","05","ghi","143104"
"2012","11","dni","252259"
"2012","03","ghi","163705"
"2008","10","ghi","219786"
"2018","03","ghi","170778"
"2008","05","ghi","145594"
"2009","08","dni","221932"
"2016","07","ghi","121475"
"2013","07","ghi","130252"
"2008","11","ghi","203022"
"2009","07","dni","229565"
"2015","07","ghi","138838"
"2010","04","dni","142376"
"2016","05","ghi","132412"
"2009","12","dni","207241"
"2011","06","ghi","116272"
"2014","12","ghi","231454"
"2017","09","ghi","197874"
"2013","05","ghi","128572"
"2014","06","ghi","125002"
"2016","09","dni","152641"
"2018","08","ghi","0"
"2009","04","ghi","147033"
"2008","02","ghi","151652"
"2012","08","ghi","159947"
"2018","05","ghi","145511"
"2011","02","ghi","187464"
"2010","08","dni","178758"
"2008","03","ghi","160434"
"2011","01","ghi","224325"
"2011","10","ghi","202488"
"2014","07","dni","222963"
"2008","06","dni","168773"
"2016","06","ghi","108248"
"2018","06","ghi","120609"
"2017","08","dni","226456"
"2013","06","ghi","125172"
"2009","03","ghi","200271"
"2013","11","dni","182867"
"2017","07","ghi","138204"
"2014","11","dni","240030"
"2014","09","dni","217398"
"2013","03","ghi","184080"
"2016","11","dni","239200"
"2016","03","ghi","151417"
"2014","08","ghi","160069"
"2012","07","dni","140080"
"2015","06","dni","145267"
"2010","12","dni","110242"
"2010","04","ghi","144500"
"2014","07","ghi","144827"
"2010","06","ghi","122356"
"2018","07","ghi","142792"
"2008","04","dni","199216"
"2012","10","ghi","217520"
"2013","07","dni","169957"
"2008","09","ghi","172345"
"2018","03","dni","161711"
"2017","07","dni","191583"
"2014","03","dni","197075"
"2010","11","ghi","141916"
"2010","10","ghi","193608"
"2012","09","dni","191287"
"2008","01","ghi","189359"
"2016","03","dni","134125"
"2014","08","dni","207337"
"2010","09","ghi","137913"
"2015","08","ghi","163311"
